Jaqueline,Herring,208-595-8963,"1400 Science Center Drive"
Carl,Hawk,252-335-9236,"639 Yorkshire Circle"
Natalie,Norton,209-764-6694,"209 Freed Drive"
Robert,Walsh,202-523-9026,"1132 Hickory Lane"
Frank,Plank,317-846-1402,"3591 Birch Street"
Mary,Elliott,559-875-5992,"62 Half and Half Drive"
Roxanne,Davis,817-684-9503,"4025 Sardis Sta"
William,Spencer,404-262-8021,"3716 Post Farm Road"
Lauren,Barger,505-406-9592,"1183 Waterview Lane"
Patricia,Jones,202-635-8876,"2969 Goldcliff Circle"
Ron,Birt,407-738-1616,"1860 Grand Avenue"
Carolina,Hogg,912-443-9705,"1417 Lilac Lane"
Stephanie,Delgado,661-517-0338,"4153 Lowndes Hill Park Road"
Clara,Dinh,703-251-0552,"1778 Lawman Avenue"
Jennifer,Eldridge,315-651-0648,"563 Confederate Drive"
Bobbie,Dennis,212-673-5977,"1433 Oakwood Avenue"
Joanna,Anderson,608-281-3976,"4753 Comfort Court"
Robert,Ward,216-583-5449,"1898 Parker Drive"
Anna,Madsen,903-788-0629,"2692 Hall Place"
James,Hamman,512-482-7785,"1511 Ashton Lane"
William,Johnson,708-860-7314,"1702 John Calvin Drive"
Judy,Duncan,510-482-3583,"4281 Thompson Drive"
Candy,Carr,407-851-8532,"4661 McDonald Avenue"
Brenda,Ackley,870-829-2562,"2583 Cedar Street"
Mozell,Hyatt,803-348-3549,"4252 Wexford Way"
Elroy,Paulson,580-430-9925,"1979 Cody Ridge Road"
Raymond,Unruh,504-602-2486,"1198 Big Indian"
Robert,Johnston,716-804-4914,"4714 Bottom Lane"
Louise,Clark,270-868-3740,"4040 Crosswind Drive"
Joseph,Ferris,859-814-8550,"277 Mayo Street"
Roy,Horton,850-948-4939,"757 American Drive"
Emily,Williams,312-260-2364,"3550 Cecil Street"
Samuel,Parker,573-270-1935,"2017 Penn Street"
Katrina,Burpo,410-941-5466,"1904 Marie Street"
George,Lewis,713-618-5876,"1001 Gore Street"
Christopher,Smith,801-852-7908,"3239 Kemper Lane"
Barbara,Sutton,786-262-0474,"4129 Ridenour Street"
Madeline,Jenkins,706-806-2001,"98 Riverside Drive"
